pin_id,start,end,on,off
ONBOARD_LED,00,-01,0.5,0.5

RIGHT_ODOUR_1,00,01,NaN,NaN
RIGHT_ODOUR_1,02,03,NaN,NaN
RIGHT_ODOUR_1,04,05,NaN,NaN
RIGHT_ODOUR_1,06,07,NaN,NaN
RIGHT_ODOUR_1,08,09,NaN,NaN
RIGHT_ODOUR_1,10,11,NaN,NaN
RIGHT_ODOUR_1,12,13,NaN,NaN
RIGHT_ODOUR_1,14,15,NaN,NaN


RIGHT_ODOUR_2,01,02,NaN,NaN
RIGHT_ODOUR_2,03,04,NaN,NaN
RIGHT_ODOUR_2,05,06,NaN,NaN
RIGHT_ODOUR_2,07,08,NaN,NaN
RIGHT_ODOUR_2,09,10,NaN,NaN
RIGHT_ODOUR_2,11,12,NaN,NaN
RIGHT_ODOUR_2,13,14,NaN,NaN
RIGHT_ODOUR_2,15,16,NaN,NaN
