,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,146,20,10,7,172,-2222,0,0,757,0,
0,0,145,19,11,7,0,-1942,0,0,758,0,
0,0,145,20,11,6,0,-2217,0,0,759,0.3119999999999976,
0,0,145,20,11,6,0,-2164,0,0,760,0.3619999999999983,
0,0,145,20,10,6,0,-2055,0,0,761,0.41499999999999915,
0,0,145,20,11,6,173,-2040,0,0,762,0.4659999999999975,
0,0,145,20,11,7,0,-2228,0,0,763,0.5199999999999996,
0,0,146,19,12,7,8,-2160,0,0,764,0.5730000000000004,
0,0,146,19,11,7,174,-2205,0,0,765,0.6749999999999972,
0,0,146,19,12,7,174,-2182,0,0,766,0.7259999999999991,
0,0,145,19,12,7,174,-2246,0,0,767,0.7779999999999987,
0,0,145,20,11,7,0,-2159,0,0,768,0.8299999999999983,
0,0,145,20,10,7,0,-2193,0,0,769,0.8829999999999991,
0,0,145,20,11,7,0,-2222,0,0,770,0.9519999999999982,
0,0,145,20,11,7,0,-2220,0,0,771,1.0139999999999993,
0,0,146,20,10,7,173,-2172,0,0,772,1.0700000000000003,
0,0,145,20,11,7,174,-2059,0,0,773,1.125,
0,0,146,20,12,7,140,-1980,0,0,774,1.1779999999999973,
0,0,146,20,10,7,150,-2096,0,0,775,1.2449999999999974,
0,0,146,20,9,7,153,-2210,0,0,776,1.3149999999999977,
0,0,147,19,9,7,90,-2124,0,0,777,1.3679999999999986,
0,0,147,19,8,7,90,-2203,0,0,778,1.4190000000000005,
0,0,147,19,9,7,90,-2197,0,0,779,1.472999999999999,
0,0,147,19,9,7,90,-2130,0,0,780,1.529,
0,0,147,19,8,7,82,-2115,0,0,781,1.5849999999999973,
0,0,148,18,9,7,74,-2040,0,0,782,1.6789999999999985,
0,0,148,19,9,6,82,-2188,0,0,783,1.7330000000000005,
0,0,148,19,7,6,90,-2107,0,0,784,1.782,
0,0,148,19,8,7,68,-2213,0,0,785,1.8329999999999984,
0,0,149,19,8,5,90,-2144,0,0,786,1.8840000000000003,
0,0,149,19,9,6,51,-2249,0,0,787,1.9379999999999988,
0,0,149,19,9,6,51,-2171,0,0,788,1.9879999999999995,
0,0,149,19,9,6,56,-2205,0,0,789,2.0380000000000003,
0,0,148,18,9,7,90,-1988,0,0,790,2.09,
0,0,148,18,9,6,90,-2045,0,0,791,2.1409999999999982,
0,0,148,18,9,6,90,-2169,0,0,792,2.190999999999999,
0,0,148,18,9,7,98,-2213,0,0,793,2.2449999999999974,
0,0,148,18,8,8,14,-2080,0,0,794,2.2940000000000005,
0,0,148,18,9,7,99,-2147,0,0,795,2.3469999999999978,
0,0,148,18,8,8,45,-2150,0,0,796,2.3979999999999997,
0,0,148,18,9,7,40,-2172,0,0,797,2.4480000000000004,
0,0,148,18,8,7,90,-2198,0,0,798,2.497,
0,0,147,18,10,6,32,-1998,0,0,799,2.5479999999999983,
0,0,147,17,9,7,30,-2187,0,0,800,2.698999999999998,
0,0,147,18,11,7,0,-2142,0,0,801,2.7509999999999977,
0,0,146,18,12,8,13,-2111,0,0,802,2.7989999999999995,
0,0,146,17,9,7,21,-2158,0,0,803,2.847999999999999,
0,0,146,18,9,7,0,-2068,0,0,804,2.8959999999999972,
0,0,146,17,10,8,172,-2190,0,0,805,2.9599999999999973,
0,0,146,17,10,7,22,-2177,0,0,806,3.0090000000000003,
0,0,145,17,11,8,7,-2159,0,0,807,3.064,
0,0,145,17,10,8,0,-2235,0,0,808,3.1129999999999995,
0,0,145,18,11,6,0,-2137,0,0,809,3.1630000000000003,
0,0,145,18,10,8,162,-2086,0,0,810,3.2119999999999997,
0,0,145,18,11,7,0,-2166,0,0,811,3.2659999999999982,
0,0,144,18,11,6,174,-2164,0,0,812,3.314,
0,0,144,18,11,7,0,-2158,0,0,813,3.3649999999999984,
0,0,144,18,11,7,0,-2159,0,0,814,3.413999999999998,
0,0,144,18,11,7,174,-2168,0,0,815,3.465,
0,0,143,18,12,7,174,-2078,0,0,816,3.5139999999999993,
0,0,142,18,12,7,9,-1923,0,0,817,3.565999999999999,
0,0,142,18,12,7,9,-2153,0,0,818,3.66,
0,0,142,18,12,7,9,-2066,0,0,819,3.7139999999999986,
0,0,142,18,11,8,27,-2194,0,0,820,3.7620000000000005,
0,0,142,18,10,8,40,-2231,0,0,821,3.811,
0,0,142,18,12,7,8,-2221,0,0,822,3.8580000000000005,
0,0,142,18,10,8,45,-2231,0,0,823,3.905999999999999,
0,0,142,18,10,7,0,-2206,0,0,824,3.9579999999999984,
0,0,141,18,11,7,0,-2000,0,0,825,4.006,
0,0,142,18,10,7,0,-2031,0,0,826,4.055999999999997,
0,0,142,17,11,8,0,-2198,0,0,827,4.105,
0,0,141,17,10,6,173,-2158,0,0,828,4.1519999999999975,
0,0,141,17,10,6,174,-2175,0,0,829,4.199999999999999,
0,0,141,17,11,8,45,-2237,0,0,830,4.2479999999999976,
0,0,141,17,12,7,174,-2182,0,0,831,4.299999999999997,
0,0,141,17,11,7,0,-2101,0,0,832,4.349,
0,0,140,17,11,7,0,-2164,0,0,833,4.3969999999999985,
0,0,140,17,11,7,31,-2171,0,0,834,4.445,
0,0,140,17,11,7,7,-2104,0,0,835,4.494,
0,0,139,17,12,7,0,-2107,0,0,836,4.544999999999998,
0,0,139,17,12,6,0,-2219,0,0,837,4.6469999999999985,
0,0,139,17,11,7,7,-2218,0,0,838,4.698,
0,0,137,18,10,6,36,-1740,0,0,839,4.750999999999998,
0,0,137,18,11,6,37,-2241,0,0,840,4.800999999999998,
0,0,137,18,10,8,40,-2218,0,0,841,5.006999999999998,
0,0,137,18,11,7,36,-2249,0,0,842,5.058,
0,0,137,18,10,7,36,-2237,0,0,843,5.113999999999997,
0,0,137,18,11,7,36,-2249,0,0,844,5.165999999999997,
0,0,137,18,11,7,0,-2217,0,0,845,5.217999999999996,
0,0,138,18,12,7,11,-2128,0,0,846,5.269999999999996,
0,0,138,18,11,7,45,-2222,0,0,847,5.320999999999998,
0,0,138,18,11,8,0,-2196,0,0,848,5.3729999999999976,
0,0,138,18,10,6,0,-2244,0,0,849,5.426000000000002,
0,0,138,18,9,7,0,-2217,0,0,850,5.476999999999997,
0,0,138,18,9,8,169,-2225,0,0,851,5.528999999999996,
0,0,138,18,11,7,45,-2145,0,0,852,5.582999999999998,
0,0,137,17,9,9,63,-2167,0,0,853,5.682000000000002,
0,0,137,17,11,6,36,-2132,0,0,854,5.732999999999997,
0,0,137,17,12,6,13,-2167,0,0,855,5.7890000000000015,
0,0,137,18,12,7,18,-2199,0,0,856,5.841000000000001,
0,0,137,18,12,7,174,-2156,0,0,857,5.891999999999996,
0,0,137,18,12,7,174,-2228,0,0,858,5.945999999999998,
0,0,137,18,12,7,174,-2234,0,0,859,5.9979999999999976,
0,0,137,18,12,7,0,-2240,0,0,860,6.049999999999997,
0,0,137,18,11,7,162,-2183,0,0,861,6.100999999999999,
0,0,137,18,12,7,172,-2213,0,0,862,6.152999999999999,
0,0,136,18,10,6,167,-2054,0,0,863,6.204999999999998,
0,0,136,18,12,7,0,-2095,0,0,864,6.256,
0,0,135,19,12,7,0,-1946,0,0,865,6.3089999999999975,
0,0,135,19,12,7,7,-2088,0,0,866,6.359999999999999,
0,0,135,19,11,7,172,-2174,0,0,867,6.417000000000002,
0,0,135,19,12,7,171,-2210,0,0,868,6.4709999999999965,
0,0,135,19,11,8,11,-2156,0,0,869,6.519999999999996,
0,0,134,19,11,8,0,-1999,0,0,870,6.5689999999999955,
0,0,133,19,11,7,162,-2094,0,0,871,6.662999999999997,
0,0,133,19,12,7,166,-2220,0,0,872,6.7109999999999985,
0,0,133,19,9,7,159,-2066,0,0,873,6.759999999999998,
0,0,132,19,10,7,159,-2113,0,0,874,6.808,
0,0,132,19,10,7,166,-2173,0,0,875,6.859000000000002,
0,0,131,20,10,7,166,-1958,0,0,876,6.9069999999999965,
0,0,131,20,10,6,164,-2087,0,0,877,6.979999999999997,
0,0,130,20,10,6,0,-2063,0,0,878,7.036999999999999,
0,0,130,20,10,6,158,-2112,0,0,879,7.098999999999997,
0,0,129,20,10,6,173,-2021,0,0,880,7.152999999999999,
0,0,128,20,8,5,173,-2039,0,0,881,7.213000000000001,
0,0,128,20,9,5,173,-2041,0,0,882,7.269999999999996,
0,0,127,20,9,6,0,-2120,0,0,883,7.324999999999996,
0,0,127,19,8,4,172,-2043,0,0,884,7.381,
0,0,126,19,8,5,0,-2077,0,0,885,7.436,
0,0,126,19,8,6,169,-2093,0,0,886,7.490000000000002,
0,0,124,19,9,5,0,-1886,0,0,887,7.543999999999997,
0,0,124,18,8,4,0,-2039,0,0,888,7.643999999999998,
0,0,123,18,9,5,31,-2030,0,0,889,7.725000000000001,
0,0,123,18,9,5,34,-2102,0,0,890,7.804000000000002,
0,0,123,18,8,5,45,-2135,0,0,891,7.857999999999997,
0,0,122,18,8,4,40,-2134,0,0,892,7.920999999999999,
0,0,122,18,9,5,31,-2230,0,0,893,7.9780000000000015,
0,0,122,18,9,5,31,-2218,0,0,894,8.030999999999999,
0,0,122,18,9,4,0,-2242,0,0,895,8.085,
0,0,121,18,10,5,0,-1931,0,0,896,8.137,
0,0,120,18,9,4,0,-2046,0,0,897,8.192999999999998,
0,0,120,18,10,4,173,-2080,0,0,898,8.247,
0,0,120,18,10,4,173,-2145,0,0,899,8.299999999999997,
0,0,119,18,8,5,153,-2077,0,0,900,8.351999999999997,
0,0,119,18,10,4,7,-2154,0,0,901,8.403999999999996,
0,0,119,18,8,5,162,-2114,0,0,902,8.454999999999998,
0,0,119,18,8,5,164,-2217,0,0,903,8.509999999999998,
0,0,118,18,10,5,8,-2065,0,0,904,8.561999999999998,
0,0,118,19,8,5,164,-2093,0,0,905,8.659999999999997,
0,0,117,19,8,6,172,-2080,0,0,906,8.710999999999999,
0,0,117,19,8,6,141,-2130,0,0,907,8.762999999999998,
0,0,116,19,9,5,164,-2107,0,0,908,8.814999999999998,
0,0,116,19,8,6,14,-2097,0,0,909,8.869,
0,0,115,19,7,6,153,-1959,0,0,910,8.921999999999997,
0,0,115,19,7,6,143,-2203,0,0,911,8.988999999999997,
0,0,114,19,8,6,0,-1984,0,0,912,9.040999999999997,
0,0,114,19,9,6,34,-2152,0,0,913,9.094999999999999,
0,0,113,19,8,4,0,-2090,0,0,914,9.149999999999999,
0,0,113,19,8,5,0,-2139,0,0,915,9.21,
0,0,113,19,9,5,0,-2083,0,0,916,9.262999999999998,
0,0,112,19,8,5,0,-2092,0,0,917,9.315999999999995,
0,0,112,19,8,5,39,-2236,0,0,918,9.369999999999997,
0,0,111,19,8,4,0,-1985,0,0,919,9.424,
0,0,110,19,8,4,172,-2042,0,0,920,9.478000000000002,
0,0,110,19,8,4,0,-2106,0,0,921,9.530999999999999,
0,0,110,19,9,5,0,-2095,0,0,922,9.582999999999998,
0,0,110,19,9,4,173,-2044,0,0,923,9.677999999999997,
0,0,109,19,9,5,172,-1950,0,0,924,9.729999999999997,
0,0,110,19,8,4,0,-2096,0,0,925,9.783000000000001,
0,0,109,19,9,4,173,-1928,0,0,926,9.832999999999998,
0,0,109,19,9,5,173,-2224,0,0,927,9.887999999999998,
0,0,108,19,9,5,173,-1944,0,0,928,9.940999999999995,
0,0,108,19,10,5,0,-2148,0,0,929,9.993000000000002,
0,0,108,20,9,5,172,-2167,0,0,930,10.043999999999997,
0,0,107,20,9,5,0,-2035,0,0,931,10.097000000000001,
