,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,104,15,6,5,22,-2109,0,0,776,0,
0,0,104,15,6,5,22,-2259,0,0,777,0.6789999999999985,
0,0,104,15,7,4,171,-2219,0,0,778,0.7800000000000047,
0,0,104,15,7,4,171,-2256,0,0,779,0.8309999999999995,
0,0,104,15,7,4,171,-2250,0,0,780,0.8810000000000038,
0,0,104,15,7,4,171,-2251,0,0,781,0.9330000000000034,
0,0,104,15,7,4,171,-2240,0,0,782,0.9830000000000005,
0,0,104,14,8,5,171,-2140,0,0,783,1.0350000000000001,
0,0,104,14,8,5,171,-2245,0,0,784,1.1359999999999992,
0,0,104,14,8,5,171,-2253,0,0,785,1.1860000000000035,
0,0,104,14,8,5,171,-2247,0,0,786,1.2369999999999983,
0,0,104,14,8,5,171,-2248,0,0,787,1.2850000000000001,
0,0,104,14,8,5,171,-2233,0,0,788,1.3350000000000044,
0,0,104,15,7,5,169,-2163,0,0,789,1.387000000000004,
0,0,104,14,8,5,9,-2186,0,0,790,1.4379999999999988,
0,0,104,14,8,5,171,-2239,0,0,791,1.4910000000000032,
0,0,104,14,8,5,9,-2236,0,0,792,1.549000000000003,
0,0,104,14,8,5,9,-2252,0,0,793,1.5990000000000002,
0,0,104,14,8,5,16,-2206,0,0,794,1.6460000000000043,
0,0,104,14,8,5,16,-2257,0,0,795,1.693999999999999,
0,0,104,14,9,5,0,-2234,0,0,796,1.7410000000000032,
0,0,104,14,9,5,0,-2259,0,0,797,1.788999999999998,
0,0,104,14,9,5,0,-2233,0,0,798,1.8369999999999997,
0,0,104,14,9,5,0,-2233,0,0,799,1.8850000000000016,
0,0,104,14,8,5,16,-2247,0,0,800,1.9330000000000034,
0,0,104,14,9,5,0,-2244,0,0,801,1.9839999999999982,
0,0,104,14,9,5,0,-2254,0,0,802,2.033000000000005,
0,0,104,14,8,5,18,-2232,0,0,803,2.126999999999999,
0,0,104,14,9,5,0,-2231,0,0,804,2.174000000000003,
0,0,103,14,7,6,135,-2231,0,0,805,2.2330000000000005,
0,0,103,14,9,5,0,-2240,0,0,806,2.285,
0,0,104,14,8,5,18,-2229,0,0,807,2.3339999999999996,
0,0,103,14,8,5,16,-2204,0,0,808,2.382999999999999,
0,0,103,14,7,6,135,-2233,0,0,809,2.4330000000000034,
0,0,103,14,9,5,0,-2242,0,0,810,2.482000000000003,
0,0,103,14,7,6,135,-2214,0,0,811,2.533000000000005,
0,0,103,14,7,6,135,-2253,0,0,812,2.5839999999999996,
0,0,103,14,7,6,135,-2229,0,0,813,2.637000000000004,
0,0,103,14,7,6,135,-2249,0,0,814,2.6860000000000035,
0,0,103,14,9,5,172,-2214,0,0,815,2.735000000000003,
0,0,103,14,7,4,162,-2217,0,0,816,2.7840000000000025,
0,0,103,14,7,5,162,-2228,0,0,817,2.833000000000002,
0,0,103,14,9,5,172,-2227,0,0,818,2.881000000000004,
0,0,103,14,9,5,172,-2240,0,0,819,2.9300000000000033,
0,0,103,14,9,5,172,-2231,0,0,820,2.9790000000000028,
0,0,103,14,9,5,172,-2251,0,0,821,3.029,
0,0,103,14,9,5,172,-2249,0,0,822,3.123000000000001,
0,0,103,14,9,5,172,-2238,0,0,823,3.1720000000000006,
0,0,103,14,8,5,172,-2222,0,0,824,3.222000000000005,
0,0,103,14,9,5,172,-2232,0,0,825,3.2780000000000022,
0,0,103,14,9,5,172,-2254,0,0,826,3.329000000000004,
0,0,103,14,9,5,172,-2243,0,0,827,3.3790000000000013,
0,0,103,14,9,5,172,-2249,0,0,828,3.4300000000000033,
0,0,103,14,8,4,172,-2228,0,0,829,3.483999999999998,
0,0,103,14,8,4,172,-2255,0,0,830,3.5440000000000005,
0,0,103,14,8,5,172,-2242,0,0,831,3.5950000000000024,
0,0,103,14,8,4,172,-2244,0,0,832,3.6449999999999996,
0,0,103,14,9,5,172,-2233,0,0,833,3.6920000000000037,
0,0,103,14,9,5,172,-2231,0,0,834,3.7390000000000008,
0,0,103,14,8,4,9,-2139,0,0,835,3.791999999999998,
0,0,103,14,8,5,9,-2202,0,0,836,3.84,
0,0,104,14,8,4,135,-2200,0,0,837,3.8930000000000042,
0,0,103,15,9,4,140,-2196,0,0,838,3.9430000000000014,
0,0,103,15,8,4,135,-2199,0,0,839,3.992000000000001,
0,0,104,15,8,4,121,-2058,0,0,840,4.040000000000003,
0,0,104,14,8,5,9,-2121,0,0,841,4.150000000000002,
0,0,105,14,9,5,0,-2102,0,0,842,4.201000000000004,
0,0,105,15,9,4,140,-2136,0,0,843,4.2740000000000045,
0,0,104,15,9,5,0,-2148,0,0,844,4.324000000000002,
0,0,104,15,7,7,117,-2078,0,0,845,4.3750000000000036,
0,0,103,15,9,5,171,-1944,0,0,846,4.422999999999998,
0,0,103,15,8,5,9,-2156,0,0,847,4.471,
0,0,102,15,8,5,173,-2080,0,0,848,4.519000000000002,
0,0,102,15,9,4,173,-2107,0,0,849,4.574000000000002,
0,0,101,15,8,5,0,-2139,0,0,850,4.623000000000001,
0,0,101,15,8,4,0,-2220,0,0,851,4.669999999999998,
0,0,102,15,6,4,18,-2190,0,0,852,4.717000000000002,
0,0,101,14,5,4,63,-1998,0,0,853,4.765000000000004,
0,0,101,14,4,3,18,-2098,0,0,854,4.815000000000001,
0,0,100,14,4,3,18,-2048,0,0,855,4.864999999999998,
0,0,100,14,4,3,18,-2048,1,0,856,4.913,
0,0,100,14,4,3,18,-2048,1,0,857,4.961000000000002,
0,0,100,14,4,3,18,-2048,1,0,858,5.007999999999999,
0,0,100,14,4,3,18,-2048,1,0,859,5.105,
0,0,100,14,4,3,18,-2048,1,0,860,5.175999999999998,
0,0,101,13,3,2,18,-1959,0,0,861,5.257999999999999,
0,0,102,13,4,3,0,-2059,0,0,862,5.3110000000000035,
0,0,102,14,4,4,63,-2019,0,0,863,5.360000000000003,
0,0,103,14,4,4,124,-2204,0,0,864,5.413999999999998,
0,0,103,14,4,4,153,-2051,0,0,865,5.467000000000002,
0,0,103,14,5,4,101,-2222,0,0,866,5.5440000000000005,
0,0,103,14,5,4,101,-2255,0,0,867,5.605999999999998,
0,0,103,14,5,4,101,-2257,0,0,868,5.660999999999998,
0,0,103,14,4,4,14,-2226,0,0,869,5.714000000000002,
0,0,103,14,5,4,117,-2214,0,0,870,5.766000000000002,
0,0,103,14,5,5,0,-2199,0,0,871,5.818000000000001,
0,0,103,14,5,5,124,-2229,0,0,872,5.870999999999999,
0,0,103,14,5,5,27,-2236,0,0,873,5.927000000000003,
0,0,103,14,5,4,101,-2230,0,0,874,5.977999999999998,
0,0,103,14,5,5,124,-2223,0,0,875,6.032,
0,0,103,14,5,5,37,-2242,0,0,876,6.1320000000000014,
0,0,103,14,5,5,27,-2222,0,0,877,6.180000000000003,
0,0,103,14,5,4,127,-2229,0,0,878,6.239000000000001,
0,0,103,14,5,5,0,-2220,0,0,879,6.288999999999998,
0,0,103,14,5,5,27,-2226,0,0,880,6.337,
0,0,103,14,5,5,27,-2258,0,0,881,6.388000000000002,
0,0,103,14,4,4,135,-2200,0,0,882,6.437000000000001,
0,0,103,14,5,4,45,-2212,0,0,883,6.486000000000001,
0,0,103,14,5,4,27,-2234,0,0,884,6.535,
0,0,103,14,5,5,27,-2230,0,0,885,6.589000000000002,
0,0,103,14,5,5,0,-2229,0,0,886,6.641000000000002,
0,0,103,14,5,5,0,-2258,0,0,887,6.690000000000001,
0,0,103,14,5,5,135,-2212,0,0,888,6.741000000000003,
0,0,103,14,5,4,11,-2221,0,0,889,6.791,
0,0,103,14,5,5,0,-2229,0,0,890,6.845000000000002,
0,0,103,14,5,5,0,-2144,0,0,891,6.896000000000004,
0,0,103,14,5,4,45,-2170,0,0,892,6.949000000000002,
0,0,103,14,5,4,27,-2210,0,0,893,7.001000000000001,
0,0,103,14,5,5,0,-2205,0,0,894,7.0539999999999985,
0,0,103,14,5,4,37,-2185,0,0,895,7.155000000000005,
0,0,103,14,5,4,37,-2220,0,0,896,7.209,
0,0,103,14,5,4,37,-2239,0,0,897,7.2669999999999995,
0,0,103,14,5,4,37,-2253,0,0,898,7.317000000000004,
0,0,103,14,5,4,37,-2254,0,0,899,7.370000000000001,
0,0,103,14,5,4,27,-2159,0,0,900,7.422000000000001,
0,0,103,14,5,5,143,-2185,0,0,901,7.4730000000000025,
0,0,103,14,5,5,117,-2204,0,0,902,7.552000000000003,
0,0,103,14,5,4,53,-2196,0,0,903,7.604000000000003,
0,0,104,14,4,4,117,-2121,0,0,904,7.654,
0,0,104,14,4,4,117,-2254,0,0,905,7.702999999999999,
0,0,103,14,4,4,117,-2230,0,0,906,7.756000000000004,
0,0,104,14,4,4,117,-2229,0,0,907,7.809000000000001,
0,0,104,14,4,4,117,-2257,0,0,908,7.861000000000001,
0,0,104,14,4,4,117,-2250,0,0,909,7.919999999999998,
0,0,104,14,4,4,117,-2251,0,0,910,7.9730000000000025,
0,0,104,14,4,4,117,-2255,0,0,911,8.027000000000005,
0,0,104,14,4,4,117,-2256,0,0,912,8.128000000000004,
0,0,104,14,4,4,117,-2254,0,0,913,8.183000000000003,
0,0,104,14,4,4,117,-2252,0,0,914,8.247000000000003,
0,0,104,14,4,4,117,-2258,0,0,915,8.3,
0,0,104,14,4,4,117,-2258,0,0,916,8.354000000000003,
0,0,104,14,4,4,117,-2254,0,0,917,8.405000000000005,
0,0,104,14,4,4,117,-2258,0,0,918,8.455000000000002,
0,0,104,14,4,4,117,-2251,0,0,919,8.504000000000001,
