t,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,IRLED,LED_R_LEFT,LED_R_RIGHT,EL_SHOCK_LEFT,EL_SHOCK_RIGHT,ODOR_A_LEFT,ODOR_A_RIGHT,ODOR_B_LEFT,ODOR_B_RIGHT,MAIN_VALVE,VACUUM,ONBOARD_LED,VIBRATOR,CLEAN_AIR,CLEAN_SDS,CLEAN_WATER,TEST_PIN,TARGETS,TREATMENT_A_LEFT,TREATMENT_A_RIGHT,TREATMENT_B_LEFT,TREATMENT_B_RIGHT
0,8.5,-55.5,34.5,-8.5,-54.5,-56.5,54.5,3.5,9.5,,,49.5,-17.5,-8.5,-50.5,-45.5,-21.5,3.5,-10.5,-30.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,8.5,-55.5,34.5,-8.5,-54.5,-56.5,54.5,3.5,9.5,,,49.5,-17.5,-8.5,-50.5,-45.5,-21.5,3.5,-10.5,-30.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,8.5,-55.5,34.5,-8.5,-54.5,-56.5,54.5,3.5,9.5,,,49.5,-17.5,-8.5,-50.5,-45.5,-21.5,3.5,-10.5,-30.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,8.5,-55.5,34.5,-8.5,-54.5,-56.5,54.5,3.5,9.5,,,49.5,-17.5,-8.5,-50.5,-45.5,-21.5,3.5,-10.5,-30.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.678999999999999,8.5,-55.5,34.5,-8.5,-55.5,-56.5,50.5,6.5,10.5,,,44.5,-33.5,-7.5,-49.5,-45.5,-21.5,-0.5,-12.5,-48.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.780000000000005,8.5,-55.5,34.5,-8.5,-55.5,-56.5,49.5,6.5,10.5,,,43.5,-35.5,-7.5,-49.5,-45.5,-21.5,-0.5,-12.5,-50.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.831,8.5,-55.5,34.5,-8.5,-56.5,-56.5,48.5,5.5,10.5,,,43.5,-36.5,-7.5,-49.5,-46.5,-21.5,-1.5,-12.5,-50.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.881000000000004,8.5,-56.5,34.5,-8.5,-56.5,-56.5,48.5,4.5,10.5,,,43.5,-38.5,-7.5,-49.5,-45.5,-21.5,-2.5,-12.5,-53.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.933000000000003,8.5,-56.5,34.5,-8.5,-57.5,-56.5,48.5,3.5,10.5,,,42.5,-39.5,-7.5,-49.5,-45.5,-21.5,-2.5,-12.5,-53.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.983000000000001,8.5,-56.5,34.5,-8.5,-57.5,-56.5,47.5,2.5,10.5,,,42.5,-39.5,-7.5,-49.5,-46.5,-21.5,-3.5,-12.5,-54.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1.035,8.5,-55.5,34.5,-8.5,-57.5,-56.5,46.5,1.5,10.5,,,40.5,-42.5,-7.5,-49.5,-46.5,-21.5,-3.5,-12.5,-56.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1.136,8.5,-55.5,34.5,-8.5,-57.5,-56.5,45.5,1.5,10.5,,,39.5,-42.5,-7.5,-49.5,-46.5,-21.5,-3.5,-12.5,-56.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1.186,8.5,-55.5,34.5,-8.5,-57.5,-56.5,44.5,1.5,10.5,,,39.5,-43.5,-7.5,-49.5,-45.5,-21.5,-3.5,-12.5,-57.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1.237,8.5,-55.5,34.5,-8.5,-58.5,-56.5,43.5,0.5,10.5,,,37.5,-45.5,-7.5,-49.5,-46.5,-20.5,-3.5,-12.5,-58.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1.285,8.5,-54.5,34.5,-8.5,-58.5,-56.5,42.5,-0.5,9.5,,,37.5,-45.5,-7.5,-49.5,-46.5,-20.5,-3.5,-12.5,-58.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1.335,8.5,-54.5,34.5,-8.5,-58.5,-57.5,41.5,-1.5,9.5,,,36.5,-47.5,-7.5,-49.5,-46.5,-20.5,-4.5,-12.5,-59.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1.387,8.5,-54.5,34.5,-8.5,-58.5,-57.5,40.5,-1.5,10.5,,,35.5,-48.5,-7.5,-49.5,-46.5,-20.5,-4.5,-12.5,-59.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1.438,8.5,-54.5,34.5,-8.5,-57.5,-57.5,39.5,-3.5,10.5,,,34.5,-50.5,-7.5,-49.5,-46.5,-20.5,-4.5,-12.5,-58.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
