ftpin_id,start,end,on,off,block


#CONDITIONING WITH ODOR B:
ODOUR_B_MCH_LEFT,5,6,NaN,NaN,
ODOUR_B_MCH_RIGHT,5,6,NaN,NaN,
ESHOCK_LEFT,305/60,363/60,1/60,4/60,
ESHOCK_RIGHT,305/60,363/60,1/60,4/60,


#CONDITIONING WITH ODOR B:
ODOUR_B_MCH_LEFT,10,11,NaN,NaN,
ODOUR_B_MCH_RIGHT,10,11,NaN,NaN,
ESHOCK_LEFT,605/60,663/60,1/60,4/60,
ESHOCK_RIGHT,605/60,663/60,1/60,4/60,





#CONDITIONING WITH ODOR B:
ODOUR_B_MCH_LEFT,15,16,NaN,NaN,
ODOUR_B_MCH_RIGHT,15,16,NaN,NaN,
ESHOCK_LEFT,905/60,963/60,1/60,4/60,
ESHOCK_RIGHT,905/60,963/60,1/60,4/60,






#CONDITIONING WITH ODOR B:
ODOUR_B_MCH_LEFT,20,21,NaN,NaN,
ODOUR_B_MCH_RIGHT,20,21,NaN,NaN,
ESHOCK_LEFT,1205/60,1263/60,1/60,4/60,
ESHOCK_RIGHT,1205/60,1263 v
u7q
47/60,1/60,4/60,

 
T
