pin_id,start,end,on,off,block

#PRE-PREFERENCE TEST:
ODOUR_A_OCT_RIGHT,2,4,NaN,NaN,
ODOUR_B_MCH_LEFT,2,4,NaN,NaN,

#EXPOSURE TO ODOR A:
ODOUR_A_OCT_LEFT,5,6,NaN,NaN,
ODOUR_A_OCT_RIGHT,5,6,NaN,NaN,


#CONDITIONING WITH ODOR B:
ODOUR_B_MCH_LEFT,7,8,NaN,NaN,
ODOUR_B_MCH_RIGHT,7,8,NaN,NaN,
ESHOCK_LEFT,425/60,483/60,1/60,4/60,
ESHOCK_RIGHT,425/60,483/60,1/60,4/60,


#EXPOSURE TO ODOR A:
ODOUR_A_OCT_LEFT,10,11,NaN,NaN,
ODOUR_A_OCT_RIGHT,10,11,NaN,NaN,


#CONDITIONING WITH ODOR B:
ODOUR_B_MCH_LEFT,12,13,NaN,NaN,
ODOUR_B_MCH_RIGHT,12,13,NaN,NaN,
ESHOCK_LEFT,725/60,783/60,1/60,4/60,
ESHOCK_RIGHT,725/60,783/60,1/60,4/60,


#POST-PREFERENCE TEST:
ODOUR_A_OCT_LEFT,18,20,NaN,NaN,
ODOUR_B_MCH_RIGHT,18,20,NaN,NaN,






 

