pin_id,start,end,on,off

ONBOARD_LED,0,999999,1/60,1/60
MAIN_VALVE,0,999999,NaN,NaN
VACUUM,0,999999,NaN,NaN
IRLED,0,999999,NaN,NaN

# preference test
VIBRATOR,4.98333,5,NaN,NaN
ODOUR_A_OCT_LEFT,5,7,NaN,NaN
ODOUR_B_MCH_RIGHT,5,7,NaN,NaN


ODOUR_A_OCT_LEFT,8,187,1,17
ODOUR_A_OCT_RIGHT,8,187,1,17
ODOUR_B_MCH_LEFT,10,187,1,17
ODOUR_B_MCH_RIGHT,10,187,1,17

ESHOCK_LEFT,10,11,1/60,4/60
ESHOCK_LEFT,28,29,1/60,4/60
ESHOCK_LEFT,46,47,1/60,4/60
ESHOCK_LEFT,64,65,1/60,4/60
ESHOCK_LEFT,82,83,1/60,4/60
ESHOCK_LEFT,100,101,1/60,4/60
ESHOCK_LEFT,118,119,1/60,4/60
ESHOCK_LEFT,136,137,1/60,4/60
ESHOCK_LEFT,154,155,1/60,4/60
ESHOCK_LEFT,172,173,1/60,4/60
ESHOCK_RIGHT,10,11,1/60,4/60
ESHOCK_RIGHT,28,29,1/60,4/60
ESHOCK_RIGHT,46,47,1/60,4/60
ESHOCK_RIGHT,64,65,1/60,4/60
ESHOCK_RIGHT,82,83,1/60,4/60
ESHOCK_RIGHT,100,101,1/60,4/60
ESHOCK_RIGHT,118,119,1/60,4/60
ESHOCK_RIGHT,136,137,1/60,4/60
ESHOCK_RIGHT,154,155,1/60,4/60
ESHOCK_RIGHT,172,173,1/60,4/60
