,arena,cx,cy,datetime,fly,frame,time_position
0,0,629,978,2019-03-18 11:07:24.618113,0,2,1.0
1,9,695,187,2019-03-18 11:07:24.726186,0,2,1.0
2,0,632,978,2019-03-18 11:07:24.804594,0,3,1.5
3,9,693,187,2019-03-18 11:07:24.911084,0,3,1.5
4,0,636,978,2019-03-18 11:07:24.982058,0,4,2.0
5,9,691,187,2019-03-18 11:07:25.089312,0,4,2.0
6,0,643,978,2019-03-18 11:07:25.163319,0,5,2.5
7,9,691,188,2019-03-18 11:07:25.251898,0,5,2.5
8,0,648,978,2019-03-18 11:07:25.327816,0,6,3.0
9,9,691,188,2019-03-18 11:07:25.420527,0,6,3.0
10,0,653,978,2019-03-18 11:07:25.532765,0,7,3.5
11,9,688,188,2019-03-18 11:07:25.627053,0,7,3.5
12,0,659,978,2019-03-18 11:07:25.700240,0,8,4.0
13,9,687,187,2019-03-18 11:07:25.799916,0,8,4.0
14,0,665,977,2019-03-18 11:07:25.875066,0,9,4.5
15,9,686,187,2019-03-18 11:07:25.977002,0,9,4.5
16,0,673,977,2019-03-18 11:07:26.014673,0,10,5.0
17,9,684,186,2019-03-18 11:07:26.104995,0,10,5.0
18,0,677,976,2019-03-18 11:07:26.143532,0,11,5.5
19,9,683,186,2019-03-18 11:07:26.249055,0,11,5.5
20,0,684,976,2019-03-18 11:07:26.286778,0,12,6.0
21,9,681,187,2019-03-18 11:07:26.377947,0,12,6.0
22,0,691,976,2019-03-18 11:07:26.416149,0,13,6.5
23,9,681,187,2019-03-18 11:07:26.518174,0,13,6.5
24,0,699,976,2019-03-18 11:07:26.571088,0,14,7.0
25,9,678,188,2019-03-18 11:07:26.699054,0,14,7.0
26,0,702,976,2019-03-18 11:07:26.742198,0,15,7.5
27,9,678,188,2019-03-18 11:07:26.831650,0,15,7.5
28,0,706,975,2019-03-18 11:07:26.872594,0,16,8.0
29,9,675,188,2019-03-18 11:07:26.961310,0,16,8.0
30,0,705,975,2019-03-18 11:07:27.009827,0,17,8.5
31,9,674,188,2019-03-18 11:07:27.099484,0,17,8.5
32,0,706,975,2019-03-18 11:07:27.137708,0,18,9.0
33,9,674,188,2019-03-18 11:07:27.222325,0,18,9.0
34,0,706,975,2019-03-18 11:07:27.260151,0,19,9.5
35,9,672,188,2019-03-18 11:07:27.344861,0,19,9.5
36,0,711,976,2019-03-18 11:07:27.383435,0,20,10.0
37,0,706,975,2019-03-18 11:07:27.386364,1,20,10.0
38,9,670,188,2019-03-18 11:07:27.490512,0,20,10.0
39,0,711,976,2019-03-18 11:07:27.528031,0,21,10.5
40,0,707,975,2019-03-18 11:07:27.531920,1,21,10.5
41,9,670,187,2019-03-18 11:07:27.631929,0,21,10.5
42,0,709,975,2019-03-18 11:07:27.670915,0,22,11.0
43,9,670,187,2019-03-18 11:07:27.747984,0,22,11.0
44,0,711,974,2019-03-18 11:07:27.787779,0,23,11.5
45,0,713,973,2019-03-18 11:07:27.915594,0,24,12.0
46,9,668,186,2019-03-18 11:07:28.004564,0,24,12.0
47,0,714,973,2019-03-18 11:07:28.046698,0,25,12.5
48,9,667,185,2019-03-18 11:07:28.135882,0,25,12.5
49,0,716,973,2019-03-18 11:07:28.187593,0,26,13.0
50,9,666,186,2019-03-18 11:07:28.274036,0,26,13.0
51,0,718,974,2019-03-18 11:07:28.310937,0,27,13.5
52,9,666,186,2019-03-18 11:07:28.398433,0,27,13.5
