t,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,IRLED,LED_R_LEFT,LED_R_RIGHT,EL_SHOCK_LEFT,EL_SHOCK_RIGHT,ODOR_A_LEFT,ODOR_A_RIGHT,ODOR_B_LEFT,ODOR_B_RIGHT,MAIN_VALVE,VACUUM,ONBOARD_LED,VIBRATOR,CLEAN_AIR,CLEAN_SDS,CLEAN_WATER,TEST_PIN,TARGETS,TREATMENT_A_LEFT,TREATMENT_A_RIGHT,TREATMENT_B_LEFT,TREATMENT_B_RIGHT
0,-50.5,4.5,11.5,18.5,52.5,55.5,16.5,2.5,-1.5,7.5,-4.5,48.5,48.5,-44.5,-0.5,-55.5,37.5,-46.5,16.5,-29.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.311999999999998,-53.5,4.5,11.5,17.5,52.5,54.5,16.5,2.5,-1.5,7.5,-4.5,46.5,48.5,-40.5,0.5,-55.5,37.5,-46.5,18.5,-32.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.361999999999998,-49.5,5.5,11.5,17.5,50.5,54.5,16.5,2.5,-1.5,6.5,-4.5,44.5,48.5,-39.5,0.5,-55.5,37.5,-46.5,18.5,-35.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.414999999999999,-47.5,5.5,11.5,17.5,53.5,54.5,16.5,2.5,-1.5,5.5,-4.5,44.5,48.5,-39.5,0.5,-55.5,37.5,-46.5,18.5,-32.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.465999999999998,-52.5,4.5,11.5,17.5,51.5,54.5,16.5,2.5,-1.5,6.5,-4.5,41.5,48.5,-38.5,0.5,-55.5,37.5,-46.5,19.5,-36.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.52,-51.5,4.5,11.5,17.5,49.5,54.5,16.5,2.5,-1.5,5.5,-4.5,45.5,48.5,-38.5,0.5,-56.5,37.5,-46.5,19.5,-29.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.573,-51.5,5.5,12.5,18.5,51.5,55.5,16.5,2.5,-1.5,8.5,-4.5,44.5,48.5,-38.5,0.5,-56.5,38.5,-46.5,20.5,-33.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.674999999999997,-51.5,4.5,12.5,17.5,51.5,55.5,16.5,2.5,-1.5,6.5,-4.5,43.5,48.5,-38.5,0.5,-56.5,37.5,-46.5,20.5,-34.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.725999999999999,-49.5,5.5,11.5,17.5,52.5,55.5,16.5,2.5,-1.5,5.5,-4.5,44.5,48.5,-38.5,0.5,-56.5,38.5,-46.5,21.5,-27.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.777999999999999,-50.5,5.5,12.5,18.5,51.5,54.5,16.5,2.5,-1.5,5.5,-4.5,43.5,48.5,-38.5,0.5,-56.5,37.5,-46.5,21.5,-36.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.829999999999998,-47.5,4.5,11.5,18.5,54.5,54.5,16.5,2.5,-1.5,7.5,-4.5,45.5,48.5,-37.5,0.5,-56.5,38.5,-46.5,22.5,-32.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.882999999999999,-46.5,4.5,11.5,18.5,49.5,54.5,16.5,2.5,-1.5,6.5,-4.5,47.5,48.5,-37.5,0.5,-56.5,38.5,-46.5,22.5,-32.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.951999999999998,-47.5,4.5,11.5,17.5,51.5,54.5,16.5,2.5,-1.5,5.5,-4.5,44.5,48.5,-36.5,0.5,-56.5,38.5,-46.5,23.5,-23.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1.014,-48.5,4.5,11.5,16.5,52.5,54.5,16.5,2.5,-1.5,6.5,-4.5,46.5,48.5,-35.5,1.5,-56.5,38.5,-46.5,23.5,-30.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1.07,-48.5,4.5,11.5,16.5,49.5,55.5,16.5,2.5,-1.5,6.5,-4.5,43.5,48.5,-35.5,0.5,-56.5,38.5,-46.5,23.5,-31.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1.125,-48.5,4.5,11.5,18.5,52.5,54.5,16.5,2.5,-1.5,6.5,-4.5,46.5,48.5,-34.5,-0.5,-56.5,38.5,-46.5,23.5,-26.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1.178,-47.5,4.5,11.5,18.5,53.5,55.5,16.5,2.5,-1.5,8.5,-4.5,42.5,48.5,-34.5,-0.5,-56.5,38.5,-46.5,24.5,-28.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
