,IRLED,LED_R_LEFT,LED_R_RIGHT,EL_SHOCK_LEFT,EL_SHOCK_RIGHT,ODOR_A_LEFT,ODOR_A_RIGHT,ODOR_B_LEFT,ODOR_B_RIGHT,MAIN_VALVE,VACUUM,ONBOARD_LED,VIBRATOR,CLEAN_AIR,CLEAN_SDS,CLEAN_WATER,TEST_PIN,TARGETS,TREATMENT_A_LEFT,TREATMENT_A_RIGHT,TREATMENT_B_LEFT,TREATMENT_B_RIGHT,t,elapsed_seconds
0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,
0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0.0,0,0,0,0,0,
1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0.0,0,0,0,0,0,
1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
3,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
4,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0.0,0,0,0,0,0,
1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0.0,0,0,0,0,0,
1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
3,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,2.9350000000000005,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,0,0,48.056000000000004,
1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,0,0,48.056000000000004,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,1.0,0,0,48.056000000000004,
