"region_id","appetitive","aversive","preference_index"
1,18,10,0.285714285714286
2,25,17,0.19047619047619
3,18,10,0.285714285714286
4,28,14,0.333333333333333
5,30,15,0.333333333333333
6,17,11,0.214285714285714
7,20,14,0.176470588235294
8,14,9,0.217391304347826
9,17,10,0.259259259259259
10,20,16,0.111111111111111
11,21,11,0.3125
12,25,18,0.162790697674419
13,22,7,0.517241379310345
14,22,11,0.333333333333333
15,32,18,0.28
16,27,17,0.227272727272727
17,23,18,0.121951219512195
18,24,14,0.263157894736842
19,21,11,0.3125
20,22,8,0.466666666666667
