,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,86,21,6,4,153,-1798,0,0,481,0,
0,0,87,22,4,3,108,-1823,0,0,482,0.13700000000000045,
0,0,87,22,4,3,108,-1823,1,0,483,0.31099999999999994,
0,0,94,21,5,2,0,-1322,0,0,484,0.391,
0,0,98,21,6,3,0,-1569,0,0,485,0.4540000000000006,
0,0,101,21,6,3,171,-1680,0,0,486,0.5630000000000006,
0,0,104,20,8,4,171,-1712,0,0,487,0.625,
0,0,106,20,8,4,171,-1740,0,0,488,0.6820000000000004,
0,0,108,21,7,4,127,-1704,0,0,489,0.7479999999999993,
0,0,113,20,7,4,0,-1536,0,0,490,0.8079999999999998,
0,0,115,20,7,4,0,-1689,0,0,491,0.8650000000000002,
0,0,118,22,8,3,9,-1634,0,0,492,0.9250000000000007,
0,0,121,22,7,4,172,-1713,0,0,493,1.0,
0,0,126,21,8,5,121,-1467,0,0,494,1.061,
0,0,127,21,8,5,121,-1783,0,0,495,1.1419999999999995,
0,0,130,22,8,4,171,-1696,0,0,496,1.221,
0,0,133,22,8,5,169,-1651,0,0,497,1.3000000000000007,
0,0,137,23,6,3,169,-1587,0,0,498,1.3849999999999998,
0,0,143,23,8,3,171,-1384,0,0,499,1.4589999999999996,
0,0,147,24,7,4,171,-1589,0,0,500,1.58,
0,0,148,24,7,3,171,-1945,0,0,501,1.6440000000000001,
0,0,148,23,7,4,9,-2090,0,0,502,1.7230000000000008,
0,0,147,23,7,4,169,-2036,0,0,503,1.795,
0,0,147,22,7,3,121,-1963,0,0,504,1.8580000000000005,
0,0,147,22,7,4,135,-2128,0,0,505,1.9260000000000002,
0,0,148,22,6,5,117,-2048,0,0,506,2.013,
0,0,147,23,7,4,45,-1784,0,0,507,2.08,
0,0,147,24,7,3,53,-1987,0,0,508,2.1690000000000005,
0,0,147,25,6,3,22,-2048,0,0,509,2.2509999999999994,
0,0,146,25,6,3,45,-2041,0,0,510,2.333,
0,0,144,24,6,4,53,-1738,0,0,511,2.42,
0,0,145,22,7,4,0,-1749,0,0,512,2.5359999999999996,
0,0,147,21,7,3,141,-1765,0,0,513,2.6069999999999993,
0,0,148,21,7,4,0,-2018,0,0,514,2.6799999999999997,
0,0,147,22,8,4,171,-1913,0,0,515,2.7430000000000003,
0,0,145,22,8,3,124,-1884,0,0,516,2.8119999999999994,
0,0,144,21,8,4,98,-1856,0,0,517,2.872,
0,0,143,22,8,3,82,-1833,0,0,518,2.9350000000000005,
0,0,141,21,8,5,79,-1761,0,0,519,3.020999999999999,
0,0,139,21,8,4,39,-1811,0,0,520,3.1019999999999985,
0,0,138,21,8,4,45,-1917,0,0,521,3.1899999999999995,
0,0,136,21,7,4,34,-1841,0,0,522,3.2859999999999996,
0,0,134,21,7,5,0,-1684,0,0,523,3.3729999999999993,
0,0,131,21,8,5,45,-1675,0,0,524,3.458,
0,0,131,21,8,5,158,-2082,0,0,525,3.610999999999999,
0,0,129,21,8,3,172,-1800,0,0,526,3.6869999999999994,
0,0,126,22,8,4,0,-1668,0,0,527,3.7539999999999996,
0,0,125,23,8,4,162,-1825,0,0,528,3.825000000000001,
0,0,121,23,6,3,169,-1619,0,0,529,3.888,
0,0,118,22,7,4,0,-1643,0,0,530,3.959999999999999,
0,0,117,22,7,4,0,-1800,0,0,531,4.031000000000001,
0,0,113,22,7,5,14,-1624,0,0,532,4.104999999999999,
0,0,111,23,7,3,172,-1675,0,0,533,4.225,
0,0,107,24,6,3,169,-1546,0,0,534,4.313000000000001,
0,0,105,23,8,3,172,-1815,0,0,535,4.4,
0,0,102,23,5,4,166,-1656,0,0,536,4.465999999999999,
0,0,100,23,4,3,162,-1794,0,0,537,4.590999999999999,
0,0,99,23,2,1,117,-1929,0,0,538,4.656999999999998,
0,0,99,23,2,1,117,-1929,1,0,539,4.7219999999999995,
0,0,99,23,2,1,117,-1929,1,0,540,4.7829999999999995,
0,0,99,23,2,1,117,-1929,1,0,541,4.8420000000000005,
0,0,98,22,4,2,166,-1823,0,0,542,4.904000000000002,
0,0,97,21,3,2,108,-1963,0,0,543,4.975,
0,0,99,22,8,3,45,-1774,0,0,544,5.034999999999998,
0,0,101,23,7,3,63,-1773,0,0,545,5.101000000000001,
0,0,102,23,7,3,59,-1933,0,0,546,5.180999999999999,
0,0,103,23,6,4,0,-1950,0,0,547,5.258999999999999,
0,0,105,24,7,4,53,-1823,0,0,548,5.340999999999999,
0,0,106,24,6,4,0,-1867,0,0,549,5.418000000000001,
0,0,106,23,6,3,0,-1964,0,0,550,5.482000000000001,
0,0,106,23,6,3,162,-2127,0,0,551,5.5969999999999995,
0,0,107,23,8,4,171,-1996,0,0,552,5.654000000000002,
0,0,108,22,7,5,0,-1857,0,0,553,5.715999999999999,
0,0,109,22,8,4,171,-1962,0,0,554,5.781000000000001,
0,0,110,21,7,5,117,-1936,0,0,555,5.840999999999999,
0,0,111,21,7,5,0,-1785,0,0,556,5.9,
0,0,113,21,6,4,162,-1880,0,0,557,5.9670000000000005,
0,0,114,22,6,5,166,-1807,0,0,558,6.0329999999999995,
0,0,116,23,7,4,0,-1779,0,0,559,6.113000000000001,
0,0,119,23,8,4,172,-1722,0,0,560,6.200000000000001,
0,0,121,24,8,4,171,-1703,0,0,561,6.272,
0,0,124,25,8,4,0,-1645,0,0,562,6.353,
0,0,129,25,6,3,169,-1532,0,0,563,6.42,
0,0,131,25,8,3,171,-1690,0,0,564,6.5230000000000015,
0,0,133,25,7,3,162,-1868,0,0,565,6.586,
0,0,136,23,8,4,135,-1554,0,0,566,6.648999999999999,
0,0,138,22,7,4,127,-1837,0,0,567,6.738000000000001,
0,0,140,23,8,4,171,-1682,0,0,568,6.796000000000001,
0,0,142,24,8,2,172,-1807,0,0,569,6.862,
0,0,145,25,6,4,169,-1659,0,0,570,6.924999999999999,
0,0,147,26,6,3,11,-1733,0,0,571,7.020000000000001,
0,0,148,26,6,3,0,-1943,0,0,572,7.093999999999999,
0,0,147,26,7,3,31,-2094,0,0,573,7.174999999999999,
0,0,146,25,6,3,11,-1950,0,0,574,7.2559999999999985,
0,0,146,25,6,4,169,-2204,0,0,575,7.334000000000001,
0,0,147,25,6,4,169,-1983,0,0,576,7.4079999999999995,
0,0,147,24,7,3,9,-2068,0,0,577,7.4719999999999995,
0,0,148,24,7,4,135,-2088,0,0,578,7.590000000000002,
0,0,148,23,7,3,129,-1852,0,0,579,7.651999999999999,
0,0,149,22,8,4,129,-2031,0,0,580,7.7120000000000015,
0,0,149,22,7,3,141,-2005,0,0,581,7.769,
0,0,149,22,7,4,121,-2031,0,0,582,7.828999999999999,
0,0,148,23,8,4,171,-2027,0,0,583,7.886999999999999,
0,0,148,23,5,5,108,-2022,0,0,584,7.947999999999999,
0,0,148,24,6,4,135,-2024,0,0,585,8.019,
0,0,148,24,7,2,169,-2074,0,0,586,8.078000000000001,
0,0,148,25,7,4,11,-2077,0,0,587,8.177999999999999,
0,0,148,24,7,3,37,-2030,0,0,588,8.264000000000001,
0,0,147,24,7,4,59,-2081,0,0,589,8.338,
0,0,148,24,7,4,90,-2177,0,0,590,8.414,
0,0,147,25,7,4,143,-1889,0,0,591,8.475,
0,0,146,25,6,3,112,-2173,0,0,592,8.588,
0,0,146,25,7,3,129,-1998,0,0,593,8.649,
0,0,145,26,7,3,121,-1883,0,0,594,8.709000000000001,
0,0,144,26,5,4,104,-2175,0,0,595,8.764999999999999,
0,0,144,25,7,3,127,-2127,0,0,596,8.822000000000001,
0,0,144,25,6,4,11,-2106,0,0,597,8.879,
0,0,143,26,7,3,0,-2095,0,0,598,8.935999999999998,
0,0,143,26,7,3,143,-2168,0,0,599,9.007,
0,0,143,26,7,3,143,-2130,0,0,600,9.066,
0,0,143,26,7,3,143,-2166,0,0,601,9.149,
0,0,143,26,6,3,162,-2127,0,0,602,9.226999999999999,
0,0,143,26,6,2,171,-2117,0,0,603,9.312,
0,0,142,27,5,2,0,-1982,0,0,604,9.402,
0,0,141,27,4,3,18,-1793,0,0,605,9.472,
0,0,140,27,6,3,11,-1987,0,0,606,9.603,
0,0,140,27,7,2,169,-2176,0,0,607,9.685,
0,0,139,26,6,3,9,-2037,0,0,608,9.76,
0,0,138,25,7,3,59,-1863,0,0,609,9.837000000000002,
0,0,136,24,7,3,27,-1772,0,0,610,9.901000000000002,
0,0,135,24,7,4,0,-1930,0,0,611,9.97,
0,0,133,23,8,4,9,-1692,0,0,612,10.031999999999998,
0,0,131,21,7,5,22,-1717,0,0,613,10.098,
0,0,130,21,6,6,0,-1985,0,0,614,10.191999999999998,
0,0,129,22,7,4,53,-1980,0,0,615,10.275,
0,0,127,22,8,3,172,-1696,0,0,616,10.357000000000001,
0,0,123,24,8,3,9,-1555,0,0,617,10.432,
0,0,120,24,6,3,169,-1677,0,0,618,10.539,
0,0,118,24,6,3,169,-1768,0,0,619,10.601,
0,0,114,24,7,3,0,-1570,0,0,620,10.661,
0,0,112,23,8,4,172,-1677,0,0,621,10.722,
0,0,109,22,7,4,31,-1643,0,0,622,10.781,
0,0,108,21,8,4,72,-1828,0,0,623,10.844,
0,0,106,21,8,3,34,-1847,0,0,624,10.903,
0,0,104,21,7,4,53,-1779,0,0,625,10.973999999999998,
0,0,101,21,7,4,11,-1618,0,0,626,11.046000000000001,
0,0,97,21,7,3,0,-1589,0,0,627,11.147,
0,0,95,22,5,2,11,-1709,0,0,628,11.254,
0,0,95,22,5,2,11,-1709,1,0,629,11.337000000000002,
0,0,87,26,3,2,18,-1268,0,0,630,11.418999999999999,
0,0,84,26,7,3,9,-1644,0,0,631,11.479999999999999,
0,0,81,24,7,4,0,-1579,0,0,632,11.604000000000001,
0,0,79,24,7,3,171,-1747,0,0,633,11.671999999999999,
0,0,75,23,7,3,171,-1573,0,0,634,11.74,
0,0,72,23,6,4,53,-1640,0,0,635,11.819,
0,0,68,24,7,3,0,-1539,0,0,636,11.892999999999999,
0,0,64,23,7,5,166,-1633,0,0,637,11.973999999999998,
0,0,60,23,8,4,9,-1552,0,0,638,12.058000000000002,
0,0,57,21,7,4,18,-1624,0,0,639,12.17,
0,0,56,22,8,4,45,-1873,0,0,640,12.252,
0,0,54,22,7,5,169,-1753,0,0,641,12.334000000000001,
0,0,51,23,8,3,172,-1664,0,0,642,12.412999999999998,
0,0,46,25,8,4,153,-1455,0,0,643,12.481,
0,0,44,26,8,4,9,-1759,0,0,644,12.598999999999998,
0,0,42,26,7,3,164,-1772,0,0,645,12.668000000000001,
0,0,40,26,7,3,162,-1724,0,0,646,12.735000000000001,
0,0,37,25,8,3,171,-1650,0,0,647,12.81,
0,0,34,24,7,4,0,-1691,0,0,648,12.883000000000001,
0,0,34,23,7,4,0,-2041,0,0,649,12.956000000000001,
0,0,34,24,7,4,158,-2112,0,0,650,13.03,
0,0,35,24,7,3,172,-2068,0,0,651,13.107999999999999,
0,0,34,25,7,4,0,-2017,0,0,652,13.185999999999998,
0,0,34,25,6,5,104,-1974,0,0,653,13.257,
0,0,34,26,7,4,121,-2165,0,0,654,13.328000000000001,
0,0,34,26,7,4,121,-2245,0,0,655,13.402,
0,0,35,25,8,5,158,-1956,0,0,656,13.476999999999999,
0,0,35,25,7,5,18,-2165,0,0,657,13.589,
0,0,35,24,7,4,53,-1946,0,0,658,13.648000000000001,
0,0,34,23,7,4,22,-2031,0,0,659,13.706999999999999,
0,0,34,23,6,5,72,-2041,0,0,660,13.775,
0,0,33,22,7,5,0,-2132,0,0,661,13.848,
0,0,33,22,7,4,34,-2214,0,0,662,13.934,
0,0,34,23,7,5,22,-1950,0,0,663,14.014000000000001,
0,0,35,23,8,3,98,-1972,0,0,664,14.077,
0,0,37,23,8,4,108,-1812,0,0,665,14.168000000000001,
0,0,38,22,7,6,0,-1837,0,0,666,14.252999999999998,
0,0,39,21,7,4,0,-1907,0,0,667,14.333,
0,0,40,21,8,4,0,-2031,0,0,668,14.409,
0,0,41,21,8,4,0,-2023,0,0,669,14.469,
0,0,41,21,8,4,0,-2207,0,0,670,14.58,
0,0,40,21,8,4,0,-2115,0,0,671,14.638,
0,0,40,21,7,4,0,-2179,0,0,672,14.699,
0,0,41,21,8,4,0,-2108,0,0,673,14.76,
0,0,42,21,8,4,0,-2003,0,0,674,14.828000000000001,
0,0,42,21,7,5,171,-2055,0,0,675,14.886999999999999,
0,0,43,21,7,5,164,-1971,0,0,676,14.947999999999999,
0,0,44,21,7,5,164,-1993,0,0,677,15.014000000000001,
0,0,45,21,8,5,0,-1914,0,0,678,15.071,
0,0,45,20,9,4,173,-2064,0,0,679,15.154000000000002,
0,0,46,20,8,4,172,-2050,0,0,680,15.226,
0,0,46,20,8,4,173,-2099,0,0,681,15.302999999999999,
0,0,47,21,8,5,9,-1919,0,0,682,15.374,
0,0,49,20,7,5,162,-1853,0,0,683,15.441999999999998,
0,0,50,21,8,5,172,-1974,0,0,684,15.556,
0,0,50,21,7,5,171,-2135,0,0,685,15.623,
0,0,49,21,8,5,172,-1941,0,0,686,15.691999999999998,
0,0,48,21,7,5,0,-2046,0,0,687,15.758000000000001,
0,0,49,21,8,5,9,-2184,0,0,688,15.815,
0,0,49,22,8,5,37,-1985,0,0,689,15.879,
0,0,51,22,8,4,0,-1837,0,0,690,15.938,
0,0,52,23,7,5,169,-1853,0,0,691,16.011000000000003,
0,0,56,23,7,5,169,-1598,0,0,692,16.08,
0,0,59,23,8,3,9,-1645,0,0,693,16.174,
0,0,62,21,8,5,129,-1590,0,0,694,16.249000000000002,
0,0,65,21,7,5,11,-1679,0,0,695,16.325000000000003,
0,0,67,21,7,4,9,-1735,0,0,696,16.402,
0,0,71,22,6,3,169,-1591,0,0,697,16.463,
0,0,73,23,6,3,169,-1654,0,0,698,16.578000000000003,
0,0,76,23,7,3,0,-1753,0,0,699,16.641,
0,0,79,25,7,3,0,-1576,0,0,700,16.701999999999998,
0,0,81,25,7,4,11,-1794,0,0,701,16.762999999999998,
0,0,82,26,7,4,39,-1863,0,0,702,16.822000000000003,
0,0,85,25,6,3,0,-1679,0,0,703,16.892000000000003,
0,0,86,24,4,3,162,-1867,0,0,704,16.961,
0,0,86,24,4,3,162,-1867,1,0,705,17.029000000000003,
0,0,96,22,6,2,9,-1216,0,0,706,17.101999999999997,
0,0,101,22,6,3,169,-1455,0,0,707,17.185000000000002,
0,0,105,22,8,4,171,-1612,0,0,708,17.264000000000003,
0,0,108,24,7,3,31,-1588,0,0,709,17.354,
0,0,108,25,7,3,31,-2004,0,0,710,17.433999999999997,
0,0,109,25,7,4,53,-1901,0,0,711,17.590000000000003,
0,0,111,24,7,3,0,-1773,0,0,712,17.652,
0,0,114,24,8,4,171,-1686,0,0,713,17.732999999999997,
0,0,117,25,7,4,169,-1682,0,0,714,17.807000000000002,
0,0,118,25,7,4,0,-1900,0,0,715,17.872999999999998,
0,0,119,26,7,4,0,-1880,0,0,716,17.939999999999998,
0,0,122,26,7,4,45,-1736,0,0,717,18.019,
0,0,125,26,8,3,172,-1652,0,0,718,18.090000000000003,
0,0,128,25,8,3,171,-1639,0,0,719,18.189999999999998,
0,0,132,25,8,3,171,-1558,0,0,720,18.283,
0,0,135,26,7,4,0,-1606,0,0,721,18.381,
0,0,140,26,7,3,37,-1474,0,0,722,18.462000000000003,
0,0,142,26,7,3,0,-1779,0,0,723,18.581000000000003,
0,0,146,26,7,3,0,-1622,0,0,724,18.648000000000003,
0,0,148,26,7,3,31,-1668,0,0,725,18.72,
0,0,148,25,6,3,9,-2054,0,0,726,18.790999999999997,
0,0,148,25,7,2,171,-1987,0,0,727,18.859,
0,0,148,24,7,3,172,-2005,0,0,728,18.926000000000002,
0,0,148,22,8,4,153,-1833,0,0,729,19.018,
0,0,148,21,8,4,124,-1979,0,0,730,19.088,
0,0,148,22,6,5,112,-2047,0,0,731,19.187000000000005,
0,0,147,22,8,4,171,-2000,0,0,732,19.276000000000003,
0,0,148,23,8,4,11,-2045,0,0,733,19.359,
0,0,148,23,7,3,31,-2049,0,0,734,19.439,
0,0,148,25,6,4,90,-1823,0,0,735,19.563000000000002,
0,0,148,25,7,3,37,-2148,0,0,736,19.646,
0,0,148,25,6,4,101,-2087,0,0,737,19.724000000000004,
0,0,147,25,7,2,99,-2091,0,0,738,19.797000000000004,
0,0,147,25,6,4,63,-2031,0,0,739,19.864000000000004,
0,0,146,25,6,3,90,-1952,0,0,740,19.932000000000002,
0,0,146,25,6,3,90,-2146,0,0,741,20.014000000000003,
0,0,146,24,5,3,101,-2022,0,0,742,20.092,
0,0,147,24,6,4,90,-1875,0,0,743,20.193000000000005,
0,0,149,25,7,3,31,-1805,0,0,744,20.276000000000003,
0,0,149,26,6,4,0,-2154,0,0,745,20.365000000000002,
0,0,149,25,5,4,162,-2106,0,0,746,20.450000000000003,
0,0,149,25,6,3,0,-2097,0,0,747,20.576999999999998,
0,0,149,25,7,2,9,-2206,0,0,748,20.649,
0,0,149,24,6,4,117,-2031,0,0,749,20.721000000000004,
0,0,149,23,6,4,0,-2047,0,0,750,20.787,
0,0,149,23,7,4,90,-2012,0,0,751,20.86,
0,0,150,22,7,4,135,-2135,0,0,752,20.928000000000004,
0,0,149,22,7,4,135,-2211,0,0,753,21.002000000000002,
0,0,149,22,8,4,98,-1962,0,0,754,21.060000000000002,
0,0,148,22,7,4,37,-1991,0,0,755,21.159,
0,0,148,22,8,3,99,-2084,0,0,756,21.240000000000002,
