"region_id","appetitive","aversive","preference_index"
1,19,9,0.357142857142857
2,28,13,0.365853658536585
3,20,8,0.428571428571429
4,29,16,0.288888888888889
5,28,17,0.244444444444444
6,20,12,0.25
7,23,12,0.314285714285714
8,17,9,0.307692307692308
9,18,10,0.285714285714286
10,23,13,0.277777777777778
11,22,11,0.333333333333333
12,26,17,0.209302325581395
13,19,11,0.266666666666667
14,23,10,0.393939393939394
15,36,15,0.411764705882353
16,26,16,0.238095238095238
17,23,14,0.243243243243243
18,25,13,0.315789473684211
19,23,11,0.352941176470588
20,21,10,0.354838709677419
