"t","ROI_1","ROI_2","ROI_3","ROI_4","ROI_5","ROI_6","ROI_7","ROI_8","ROI_9","ROI_10","ROI_11","ROI_12","ROI_13","ROI_14","ROI_15","ROI_16","ROI_17","ROI_18","ROI_19","ROI_20","IRLED","LED_R_LEFT","LED_R_RIGHT","EL_SHOCK_LEFT","EL_SHOCK_RIGHT","ODOR_A_LEFT","ODOR_A_RIGHT","ODOR_B_LEFT","ODOR_B_RIGHT","MAIN_VALVE","VACUUM","ONBOARD_LED","VIBRATOR","CLEAN_AIR","CLEAN_SDS","CLEAN_WATER","TEST_PIN","TARGETS","TREATMENT_A_LEFT","TREATMENT_A_RIGHT","TREATMENT_B_LEFT","TREATMENT_B_RIGHT"
0,-56,17,39,2,-39,14,19,-34,-1,-52,9,26,-21,-50,62,-43,-1,59,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.137,-54,11,37,-5,-37,18,16,-32,6,-51,12,29,-15,-50,55,-48,0,59,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.311,-53,6,35,-9,-34,21,11,-34,11,-50,13,29,-11,-47,53,-50,0,59,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.391,-52,1,33,-12,-32,23,8,-34,13,-50,15,31,-9,-46,50,-52,7,58,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.454000000000001,-49,-5,30,-17,-25,30,-3,-33,20,-50,15,36,-4,-44,40,-53,11,55,35,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.563000000000001,-49,-6,28,-20,-24,32,-6,-34,22,-50,23,39,0,-44,36,-53,14,53,38,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625,-48,-8,26,-22,-22,35,-8,-34,25,-50,27,40,3,-44,33,-53,17,52,41,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.682,-48,-14,24,-26,-18,38,-14,-35,29,-50,31,43,7,-44,29,-53,19,49,46,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.747999999999999,-48,-18,23,-28,-15,40,-17,-36,32,-50,34,47,9,-46,25,-53,21,47,49,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.808,-48,-24,20,-32,-11,45,-22,-35,36,-50,38,51,12,-50,21,-53,26,46,51,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.865,-47,-28,18,-34,-10,47,-24,-35,39,-50,40,53,15,-52,19,-53,28,46,53,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
