,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,98,20,3,2,108,-2200,0,0,277,0,
0,0,98,19,3,2,108,-2216,0,0,278,0.057000000000000384,
0,0,98,19,3,2,108,-2259,0,0,279,0.1670000000000007,
0,0,98,19,3,2,108,-2254,0,0,280,0.23600000000000065,
0,0,98,19,3,2,108,-2254,1,0,281,0.2790000000000008,
0,0,98,19,3,2,108,-2114,0,0,282,0.3210000000000006,
0,0,98,19,3,2,108,-2114,1,0,283,0.37100000000000044,
0,0,98,20,2,2,153,-2123,0,0,284,0.41300000000000026,
0,0,98,20,3,1,135,-2193,0,0,285,0.4540000000000006,
0,0,98,20,3,1,135,-2250,0,0,286,0.49600000000000044,
0,0,98,20,3,1,135,-2250,1,0,287,0.5380000000000003,
0,0,98,20,3,1,135,-2250,1,0,288,0.5800000000000001,
0,0,98,20,3,1,135,-2250,1,0,289,0.6230000000000011,
0,0,98,20,3,1,135,-2250,1,0,290,0.6639999999999997,
0,0,98,20,3,1,135,-2250,1,0,291,0.7119999999999997,
0,0,98,20,3,1,135,-2250,1,0,292,0.7569999999999997,
0,0,98,20,3,1,135,-2250,1,0,293,0.798,
0,0,98,20,3,1,135,-2250,1,0,294,0.8390000000000004,
0,0,102,24,2,1,117,-1440,0,0,295,0.8800000000000008,
0,0,102,24,2,2,153,-2097,0,0,296,0.968,
0,0,103,24,3,2,18,-2064,0,0,297,1.0090000000000003,
0,0,104,24,4,3,0,-2035,0,0,298,1.0500000000000007,
0,0,104,24,5,3,0,-2102,0,0,299,1.091000000000001,
0,0,105,24,5,4,34,-1988,0,0,300,1.141,
0,0,105,24,5,3,0,-2084,0,0,301,1.1929999999999996,
0,0,106,24,5,4,22,-2046,0,0,302,1.2439999999999998,
0,0,106,24,5,4,53,-2194,0,0,303,1.290000000000001,
0,0,107,24,6,3,0,-2048,0,0,304,1.3339999999999996,
0,0,107,24,7,4,37,-2090,0,0,305,1.3789999999999996,
0,0,108,24,6,3,0,-2063,0,0,306,1.42,
0,0,109,24,6,4,169,-2011,0,0,307,1.4619999999999997,
0,0,109,24,7,4,0,-2110,0,0,308,1.5030000000000001,
0,0,109,24,7,4,9,-2213,0,0,309,1.545,
0,0,109,24,6,3,169,-2160,0,0,310,1.5869999999999997,
0,0,110,24,7,3,171,-2112,0,0,311,1.6280000000000001,
0,0,110,24,7,4,0,-2070,0,0,312,1.6690000000000005,
0,0,111,24,7,5,14,-1982,0,0,313,1.713000000000001,
0,0,112,23,6,3,169,-1912,0,0,314,1.758000000000001,
0,0,113,23,6,3,169,-1963,0,0,315,1.8040000000000003,
0,0,115,23,6,6,135,-1846,0,0,316,1.8469999999999995,
0,0,116,23,7,4,171,-1898,0,0,317,1.9350000000000005,
0,0,117,23,6,3,169,-2094,0,0,318,1.9760000000000009,
0,0,118,23,7,4,0,-1854,0,0,319,2.0170000000000012,
0,0,120,23,7,3,172,-1870,0,0,320,2.058,
0,0,121,23,7,4,27,-1893,0,0,321,2.099,
0,0,123,22,7,4,158,-1861,0,0,322,2.149000000000001,
0,0,124,22,8,4,9,-1876,0,0,323,2.2110000000000003,
0,0,125,22,6,5,14,-1864,0,0,324,2.2650000000000006,
0,0,127,21,7,4,127,-1887,0,0,325,2.314,
0,0,128,21,8,3,9,-1883,0,0,326,2.3610000000000007,
0,0,129,21,6,5,14,-1865,0,0,327,2.4060000000000006,
0,0,130,21,7,4,127,-1972,0,0,328,2.4480000000000004,
0,0,132,20,7,4,171,-1876,0,0,329,2.4890000000000008,
0,0,133,19,7,4,0,-1871,0,0,330,2.530000000000001,
0,0,133,19,7,4,0,-2090,0,0,331,2.5709999999999997,
0,0,134,18,7,4,135,-1900,0,0,332,2.6110000000000007,
0,0,135,18,7,4,0,-2176,0,0,333,2.652000000000001,
0,0,136,18,7,4,135,-1999,0,0,334,2.694000000000001,
0,0,136,18,7,5,135,-2105,0,0,335,2.745000000000001,
0,0,137,18,7,4,127,-2049,0,0,336,2.7859999999999996,
0,0,137,18,6,4,0,-2081,0,0,337,2.827,
0,0,139,18,7,4,135,-1741,0,0,338,2.8680000000000003,
0,0,140,18,7,4,127,-1933,0,0,339,2.960000000000001,
0,0,142,18,6,4,11,-1923,0,0,340,3.003,
0,0,142,18,6,4,117,-2129,0,0,341,3.0500000000000007,
0,0,143,18,6,4,117,-1957,0,0,342,3.0950000000000006,
0,0,143,18,6,4,11,-2106,0,0,343,3.1479999999999997,
0,0,144,18,6,3,162,-2109,0,0,344,3.2060000000000013,
0,0,145,18,6,5,0,-1964,0,0,345,3.2539999999999996,
0,0,146,18,6,5,0,-1957,0,0,346,3.3000000000000007,
0,0,146,18,7,5,14,-2056,0,0,347,3.3499999999999996,
0,0,147,19,6,4,127,-2010,0,0,348,3.396000000000001,
0,0,148,19,6,4,127,-2024,0,0,349,3.4380000000000006,
0,0,148,19,7,4,0,-2171,0,0,350,3.4830000000000005,
0,0,148,19,7,4,135,-2152,0,0,351,3.532,
0,0,148,18,5,5,108,-2107,0,0,352,3.5820000000000007,
0,0,148,18,6,4,135,-2060,0,0,353,3.6340000000000003,
0,0,148,18,7,3,141,-2192,0,0,354,3.684000000000001,
0,0,148,18,7,4,135,-2144,0,0,355,3.745000000000001,
0,0,148,18,7,4,135,-2249,0,0,356,3.795,
0,0,148,18,7,4,135,-2243,0,0,357,3.8450000000000006,
0,0,148,18,7,4,127,-2239,0,0,358,3.949,
0,0,148,18,7,4,127,-2258,0,0,359,3.9990000000000006,
0,0,148,18,6,4,0,-2204,0,0,360,4.047000000000001,
0,0,148,19,7,4,22,-2142,0,0,361,4.098000000000001,
0,0,147,19,7,4,171,-1925,0,0,362,4.156000000000001,
0,0,147,19,6,4,11,-2176,0,0,363,4.237,
0,0,146,19,6,5,14,-2151,0,0,364,4.297000000000001,
0,0,147,18,6,4,135,-2109,0,0,365,4.3469999999999995,
0,0,147,18,7,4,127,-2039,0,0,366,4.390000000000001,
0,0,148,18,6,4,11,-2163,0,0,367,4.431000000000001,
0,0,148,18,5,4,117,-2075,0,0,368,4.471,
0,0,149,18,6,4,0,-2072,0,0,369,4.5120000000000005,
0,0,149,18,7,3,171,-2167,0,0,370,4.553000000000001,
0,0,149,18,7,3,171,-2167,0,0,371,4.594000000000001,
0,0,149,18,6,3,11,-2093,0,0,372,4.635,
0,0,150,18,7,4,171,-2206,0,0,373,4.676,
0,0,150,18,6,3,162,-2235,0,0,374,4.724,
0,0,149,18,6,4,11,-2127,0,0,375,4.771000000000001,
0,0,149,18,7,3,9,-2113,0,0,376,4.813000000000001,
0,0,149,18,6,5,14,-2128,0,0,377,4.855,
0,0,148,19,7,4,22,-2015,0,0,378,4.943,
0,0,148,19,7,3,172,-2187,0,0,379,4.984,
0,0,147,19,7,3,171,-2156,0,0,380,5.032,
0,0,147,19,7,4,0,-2032,0,0,381,5.0760000000000005,
0,0,146,20,7,4,0,-1892,0,0,382,5.123000000000001,
0,0,146,20,7,4,53,-2114,0,0,383,5.181000000000001,
0,0,145,21,7,4,11,-2070,0,0,384,5.241,
0,0,145,21,7,3,31,-2099,0,0,385,5.288,
0,0,145,21,7,4,90,-2087,0,0,386,5.333,
0,0,145,22,7,3,31,-2064,0,0,387,5.384,
0,0,145,22,8,4,76,-2177,0,0,388,5.43,
0,0,145,23,7,4,79,-1996,0,0,389,5.473000000000001,
0,0,145,23,6,4,22,-2129,0,0,390,5.517000000000001,
0,0,145,23,6,4,22,-2218,0,0,391,5.566000000000001,
0,0,145,23,7,4,37,-2210,0,0,392,5.611000000000001,
0,0,145,23,7,4,90,-2116,0,0,393,5.6530000000000005,
0,0,145,22,7,4,45,-2137,0,0,394,5.694000000000001,
0,0,144,22,8,5,76,-2100,0,0,395,5.746,
0,0,144,22,7,4,90,-2152,0,0,396,5.788,
0,0,144,22,8,4,72,-2198,0,0,397,5.832000000000001,
0,0,143,22,6,4,79,-1976,0,0,398,5.873000000000001,
0,0,143,23,6,4,90,-2043,0,0,399,5.9670000000000005,
0,0,142,23,6,3,90,-2184,0,0,400,6.01,
0,0,142,23,6,4,90,-2187,0,0,401,6.055,
0,0,142,23,7,3,149,-2105,0,0,402,6.1,
0,0,141,23,6,4,158,-2099,0,0,403,6.152000000000001,
0,0,141,23,7,3,149,-2159,0,0,404,6.231,
0,0,141,23,7,3,149,-2108,0,0,405,6.276,
0,0,140,23,6,4,158,-2077,0,0,406,6.318,
0,0,140,23,6,4,117,-2128,0,0,407,6.367000000000001,
0,0,140,23,6,5,0,-2194,0,0,408,6.409000000000001,
0,0,140,23,5,4,14,-2212,0,0,409,6.452,
0,0,139,22,7,4,127,-2042,0,0,410,6.494,
0,0,139,23,6,5,14,-1990,0,0,411,6.540000000000001,
0,0,138,23,6,5,14,-2152,0,0,412,6.581000000000001,
