"t","ROI_1","ROI_2","ROI_3","ROI_4","ROI_5","ROI_6","ROI_7","ROI_8","ROI_9","ROI_10","ROI_11","ROI_12","ROI_13","ROI_14","ROI_15","ROI_16","ROI_17","ROI_18","ROI_19","ROI_20","IRLED","LED_R_LEFT","LED_R_RIGHT","EL_SHOCK_LEFT","EL_SHOCK_RIGHT","ODOR_A_LEFT","ODOR_A_RIGHT","ODOR_B_LEFT","ODOR_B_RIGHT","MAIN_VALVE","VACUUM","ONBOARD_LED","VIBRATOR","CLEAN_AIR","CLEAN_SDS","CLEAN_WATER","TEST_PIN","TARGETS","TREATMENT_A_LEFT","TREATMENT_A_RIGHT","TREATMENT_B_LEFT","TREATMENT_B_RIGHT"
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,65,14,-16,2,-45,-76,66,-42,70,-76,-43,12,22,-41,NA,-31,7,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.0570000000000004,65,17,-16,4,-45,NA,68,-43,70,NA,-42,15,22,-41,NA,-33,9,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.167000000000001,65,18,-15,4,-45,NA,68,-43,70,NA,-42,16,22,-41,NA,-34,9,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.236000000000001,65,18,-15,4,-45,NA,69,-43,70,NA,-42,17,22,-41,NA,-35,9,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.279000000000001,64,18,-15,5,-45,NA,69,-43,70,NA,-42,17,22,-41,NA,-36,10,NA,NA,72,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.321000000000001,64,18,-15,6,-45,NA,68,-42,70,NA,-42,17,22,-42,NA,-37,10,NA,NA,72,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.371,62,18,-15,6,-45,NA,68,-43,70,NA,-42,17,22,-42,NA,-38,10,NA,NA,72,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.413,62,18,-15,6,-45,NA,67,-43,70,NA,-42,18,22,-42,NA,-38,10,NA,NA,72,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.454000000000001,61,18,-15,6,-45,NA,67,-43,70,NA,-42,18,22,-42,NA,-38,11,NA,NA,72,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.496,60,18,-15,7,-45,NA,67,-43,70,NA,-42,19,22,-42,NA,-38,12,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.538,59,19,-15,7,-45,NA,67,-43,70,NA,-42,19,22,-42,NA,-38,12,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.58,58,18,-15,8,-45,NA,67,-43,70,NA,-42,20,22,-42,NA,-39,12,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.623000000000001,57,18,-15,9,-45,NA,67,-43,70,NA,-42,20,22,-42,NA,-39,12,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.664,56,18,-15,10,-45,NA,67,-43,70,NA,-42,21,22,-42,NA,-39,12,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.712,56,18,-15,10,-45,NA,67,-43,70,NA,-42,21,22,-42,NA,-39,12,NA,NA,73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
