,IRLED,LED_R_LEFT,LED_R_RIGHT,EL_SHOCK_LEFT,EL_SHOCK_RIGHT,ODOR_A_LEFT,ODOR_A_RIGHT,ODOR_B_LEFT,ODOR_B_RIGHT,MAIN_VALVE,VACUUM,ONBOARD_LED,VIBRATOR,CLEAN_AIR,CLEAN_SDS,CLEAN_WATER,TEST_PIN,TARGETS,TREATMENT_A_LEFT,TREATMENT_A_RIGHT,TREATMENT_B_LEFT,TREATMENT_B_RIGHT,t,elapsed_seconds
0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,
0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,
1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,
2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,
3,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,
0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,
1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,
2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,54.003,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,56.992000000000004,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,0,60.0,
0,1.0,0,0,0,0,0,0.0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,0,60.0,
1,1.0,0,0,0,0,0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,0,60.0,
2,1.0,0,0,0,0,0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,0,60.0,
0,1.0,0,0,0,0,0,0.0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,0,60.0,
1,1.0,0,0,0,0,0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,0,60.0,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,150.041,
1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,150.041,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,150.041,
0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,150.041,
1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,150.041,
2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,150.041,
0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
1,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
2,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
1,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
2,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
3,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
1,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.995,
