,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,86,24,2,1,117,-301,0,0,527,12.046999999999999,
0,0,86,24,3,1,135,-2147,0,0,528,12.089,
0,0,86,24,3,1,135,-2147,1,0,529,12.147,
0,0,86,23,4,2,135,-2022,0,0,530,12.218000000000002,
0,0,86,24,4,2,153,-2200,0,0,531,12.286,
0,0,85,24,3,3,108,-2135,0,0,532,12.344,
0,0,85,23,4,2,166,-2130,0,0,533,12.389000000000001,
0,0,85,23,4,2,166,-2234,0,0,534,12.434,
0,0,84,23,4,3,18,-2069,0,0,535,12.488999999999999,
0,0,84,23,5,2,158,-2126,0,0,536,12.543999999999999,
0,0,83,23,5,3,0,-1994,0,0,537,12.599000000000002,
0,0,83,23,6,3,0,-2170,0,0,538,12.653,
0,0,82,23,5,3,0,-2000,0,0,539,12.709000000000001,
0,0,81,23,5,2,169,-2000,0,0,540,12.767999999999999,
0,0,81,24,5,3,0,-1991,0,0,541,12.823000000000002,
0,0,79,23,5,3,0,-1885,0,0,542,12.878000000000002,
0,0,79,23,5,2,169,-2043,0,0,543,12.993,
0,0,79,23,5,3,0,-2090,0,0,544,13.057,
0,0,78,23,5,2,166,-1942,0,0,545,13.116999999999999,
0,0,77,23,6,2,11,-2120,0,0,546,13.179,
0,0,76,23,4,3,18,-2005,0,0,547,13.241999999999999,
0,0,75,23,4,3,18,-1965,0,0,548,13.289,
0,0,75,23,6,3,11,-1972,0,0,549,13.342,
0,0,73,23,5,2,169,-1904,0,0,550,13.401000000000002,
0,0,73,24,5,3,0,-1987,0,0,551,13.471000000000002,
0,0,72,23,6,3,0,-2076,0,0,552,13.517999999999999,
0,0,72,23,5,2,169,-2079,0,0,553,13.565,
0,0,72,23,4,3,124,-2123,0,0,554,13.612,
0,0,72,23,6,3,0,-2061,0,0,555,13.662,
0,0,72,23,6,2,11,-2186,0,0,556,13.712000000000002,
0,0,72,23,5,2,169,-2186,0,0,557,13.763,
0,0,73,23,5,3,0,-2176,0,0,558,13.811000000000002,
0,0,73,23,5,3,0,-2190,0,0,559,13.859,
