"region_id","appetitive","aversive","preference_index"
1,19,10,0.310344827586207
2,19,13,0.1875
3,19,11,0.266666666666667
4,16,17,-0.0303030303030303
5,27,21,0.125
6,25,20,0.111111111111111
7,14,9,0.217391304347826
8,16,13,0.103448275862069
9,20,15,0.142857142857143
10,23,21,0.0454545454545455
11,20,13,0.212121212121212
12,13,6,0.368421052631579
13,15,8,0.304347826086957
14,19,12,0.225806451612903
15,24,22,0.0434782608695652
16,20,15,0.142857142857143
17,19,17,0.0555555555555556
18,16,12,0.142857142857143
19,20,15,0.142857142857143
20,12,5,0.411764705882353
