,id,x,y,w,h,phi,xy_dist_log10x1000,is_inferred,has_interacted,frame_count,t,elapsed_seconds
0,0,47,24,7,3,172,-2157,0,0,1021,0,
0,0,47,24,8,3,8,-2203,0,0,1022,0.2740000000000009,
0,0,47,24,8,4,0,-2087,0,0,1023,0.3780000000000001,
0,0,47,24,8,4,162,-2189,0,0,1024,0.45200000000000173,
0,0,47,24,8,4,162,-2249,0,0,1025,0.532,
0,0,47,24,7,3,162,-2226,0,0,1026,0.6050000000000004,
0,0,47,24,7,3,162,-2250,0,0,1027,0.6630000000000003,
0,0,46,25,8,4,45,-1933,0,0,1028,0.7300000000000004,
0,0,47,25,7,4,53,-2117,0,0,1029,0.7899999999999991,
0,0,49,26,8,5,39,-1757,0,0,1030,0.8509999999999991,
0,0,51,27,8,4,9,-1777,0,0,1031,0.9140000000000015,
0,0,53,26,8,4,172,-1708,0,0,1032,0.9780000000000015,
0,0,56,26,7,3,172,-1628,0,0,1033,1.091000000000001,
0,0,60,26,8,3,9,-1606,0,0,1034,1.1679999999999993,
0,0,61,25,7,5,18,-1850,0,0,1035,1.243000000000002,
0,0,63,24,7,3,121,-1805,0,0,1036,1.3260000000000005,
0,0,64,23,7,4,112,-1834,0,0,1037,1.429000000000002,
0,0,65,23,7,3,172,-1864,0,0,1038,1.5139999999999993,
0,0,67,24,7,3,171,-1865,0,0,1039,1.600999999999999,
0,0,69,25,5,4,63,-1714,0,0,1040,1.6900000000000013,
0,0,70,25,4,3,18,-1952,0,0,1041,1.7600000000000016,
0,0,71,24,5,2,158,-1894,0,0,1042,1.8350000000000009,
0,0,72,24,6,3,0,-2046,0,0,1043,1.904,
0,0,71,24,4,3,18,-1912,0,0,1044,1.966000000000001,
0,0,70,24,5,3,104,-2062,0,0,1045,2.0749999999999993,
0,0,70,25,7,3,90,-1909,0,0,1046,2.1400000000000006,
0,0,70,26,7,3,90,-2150,0,0,1047,2.2059999999999995,
0,0,69,24,7,3,90,-1922,0,0,1048,2.2680000000000007,
0,0,67,24,7,4,0,-1761,0,0,1049,2.367000000000001,
0,0,63,25,7,5,0,-1542,0,0,1050,2.455000000000002,
0,0,60,25,8,4,135,-1601,0,0,1051,2.5459999999999994,
0,0,56,27,8,4,171,-1530,0,0,1052,2.6380000000000017,
0,0,54,26,7,5,117,-1765,0,0,1053,2.7280000000000015,
0,0,49,27,8,5,141,-1526,0,0,1054,2.8049999999999997,
0,0,41,26,7,3,172,-1265,0,0,1055,2.9430000000000014,
0,0,39,25,7,3,162,-1872,0,0,1056,3.1290000000000013,
0,0,35,23,8,3,172,-1487,0,0,1057,3.1950000000000003,
0,0,33,23,8,5,135,-1832,0,0,1058,3.276,
0,0,33,25,8,4,108,-1821,0,0,1059,3.367000000000001,
0,0,33,25,7,5,158,-2190,0,0,1060,3.597999999999999,
0,0,33,25,8,4,99,-2004,0,0,1061,3.6640000000000015,
0,0,33,25,8,4,99,-2207,0,0,1062,3.724,
0,0,32,25,8,4,99,-2188,0,0,1063,3.785,
