"t","ROI_1","ROI_2","ROI_3","ROI_4","ROI_5","ROI_6","ROI_7","ROI_8","ROI_9","ROI_10","ROI_11","ROI_12","ROI_13","ROI_14","ROI_15","ROI_16","ROI_17","ROI_18","ROI_19","ROI_20","IRLED","ODOR_B_LEFT","ODOR_A_RIGHT","ODOR_A_LEFT","ODOR_B_RIGHT","MAIN_VALVE","VACUUM","TREATMENT_A_LEFT","TREATMENT_A_RIGHT","TREATMENT_B_LEFT","TREATMENT_B_RIGHT"
0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.222222222222222,2,0,0,-1,-1,-5,3,0,-1,-6,-4,0,-1,-2,1,3,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.333333333333333,4,-6,0,-1,-2,2,3,0,-4,-1,-1,0,1,2,4,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0.444444444444444,10,-6,0,-4,-2,4,4,0,1,-5,-2,0,-4,6,9,9,-1,2,-2,0,0,0,0,0,0,0,0,0,0,0,0
0.555555555555556,11,-11,0,1,-2,3,-2,0,-1,0,-3,0,-5,4,7,5,2,4,-3,0,1,0,0,0,0,1,1,0,0,0,0
0.666666666666667,14,-13,0,-2,-1,6,-3,0,0,5,0,0,-4,1,9,4,1,5,-4,0,1,0,0,0,0,1,1,0,0,0,0
0.777777777777778,19,-11,0,2,-1,6,5,0,-4,4,4,0,-4,0,12,-2,1,1,-7,0,1,0,0,0,0,1,1,0,0,0,0
0.888888888888889,23,-17,0,-3,-3,-3,3,0,1,3,10,0,3,0,15,0,0,0,-10,0,1,0,0,0,0,1,1,0,0,0,0
1,26,-14,0,-1,-6,-2,1,0,3,5,9,0,8,-5,15,0,1,-1,-11,0,1,0,0,0,0,1,1,0,0,0,0
1.11111111111111,30,-13,0,-2,-8,1,-3,0,3,3,9,0,11,-9,14,4,-2,-1,-13,0,1,0,0,0,0,1,1,0,0,0,0
1.22222222222222,28,-13,0,-5,-7,3,-5,0,5,4,13,0,12,-13,16,7,-2,-2,-11,0,1,0,0,0,0,1,1,0,0,0,0
1.33333333333333,31,-18,0,-11,-5,4,-9,0,10,1,13,0,9,-14,18,7,4,-2,-14,0,1,0,0,0,0,1,1,0,0,0,0
1.44444444444444,33,-19,0,-11,-4,7,-9,0,8,-2,9,0,7,-17,15,6,2,-4,-18,0,1,0,0,0,0,1,1,0,0,0,0
1.55555555555556,36,-15,0,-12,-6,8,-4,0,6,-1,8,0,12,-21,12,0,7,-3,-19,0,1,0,0,0,0,1,1,0,0,0,0
1.66666666666667,36,-16,0,-13,-8,10,-1,0,4,-4,11,0,13,-21,11,5,5,-4,-13,0,1,0,0,0,0,1,1,0,0,0,0
1.77777777777778,35,-18,0,-14,-10,15,0,0,8,-5,10,0,14,-26,13,7,0,-4,-11,0,1,0,0,0,0,1,1,0,0,0,0
1.88888888888889,35,-23,0,-16,-12,10,-1,0,2,-3,9,0,18,-23,12,6,-5,-6,-12,0,1,0,0,0,0,1,1,0,0,0,0
2,31,-24,0,-14,-5,12,1,0,5,2,9,0,15,-23,8,3,-3,-3,-13,0,1,0,0,0,0,1,1,0,0,0,0
2.11111111111111,26,-19,0,-11,-3,7,4,0,8,5,3,0,14,-25,9,0,1,-4,-14,0,1,0,0,0,0,1,1,0,0,0,0
2.22222222222222,31,-24,0,-5,-4,10,2,0,8,3,2,0,13,-21,8,3,7,-3,-12,0,1,0,0,0,0,1,1,0,0,0,0
