hardware,start,end,on,off,mode,value

ONBOARD_LED,0,60,5000,5000,o,1


#first_wash_SDS_2min

CLEAN_AIR,0,1,NaN,NaN,o,1
CLEAN_SDS,1,2,NaN,NaN,o,1
CLEAN_AIR,1.10,1.15,NaN,NaN,o,1
CLEAN_AIR,1.25,1.30,NaN,NaN,o,1
CLEAN_AIR,1.75,2,NaN,NaN,o,1
VACUUM,1,2,NaN,NaN,o,1

#first_wash_Water_3min

CLEAN_WATER,2,5,NaN,NaN,o,1
CLEAN_AIR,2.45,2.55,NaN,NaN,o,1
CLEAN_AIR,2.95,3.05,NaN,NaN,o,1
CLEAN_AIR,3.45,3.55,NaN,NaN,o,1
CLEAN_AIR,3.95,4.05,NaN,NaN,o,1
CLEAN_AIR,4.45,4.55,NaN,NaN,o,1
VACUUM,3,4,NaN,NaN,o,1

#first_wash_air_5min

CLEAN_AIR,5,10,NaN,NaN,o,1
VACUUM,6,7,NaN,NaN,o,1
VACUUM,8,9,NaN,NaN,o,1


#second_wash_SDS_2min

CLEAN_SDS,10,12,NaN,NaN,o,1
CLEAN_AIR,11.10,11.15,NaN,NaN,o,1
CLEAN_AIR,11.25,11.30,NaN,NaN,o,1
CLEAN_AIR,11.50,11.55,NaN,NaN,o,1
CLEAN_AIR,11.75,12,NaN,NaN,o,1
VACUUM,11,12,NaN,NaN,o,1

#second_wash_water_8min

CLEAN_WATER,12,20,NaN,NaN,o,1
CLEAN_AIR,12.45,12.55,NaN,NaN,o,1
CLEAN_AIR,12.95,13.05,NaN,NaN,o,1
CLEAN_AIR,13.45,13.55,NaN,NaN,o,1
CLEAN_AIR,13.95,14.05,NaN,NaN,o,1
CLEAN_AIR,14.45,14.55,NaN,NaN,o,1
CLEAN_AIR,14.95,15.05,NaN,NaN,o,1
CLEAN_AIR,15.45,15.55,NaN,NaN,o,1
CLEAN_AIR,15.95,16.05,NaN,NaN,o,1
CLEAN_AIR,16.45,16.55,NaN,NaN,o,1
CLEAN_AIR,16.95,17.05,NaN,NaN,o,1
CLEAN_AIR,17.45,17.55,NaN,NaN,o,1
CLEAN_AIR,17.95,18.05,NaN,NaN,o,1
CLEAN_AIR,18.45,18.55,NaN,NaN,o,1
CLEAN_AIR,18.95,19.05,NaN,NaN,o,1
CLEAN_AIR,19.45,19.55,NaN,NaN,o,1
VACUUM,13,15,NaN,NaN,o,1
VACUUM,17,19,NaN,NaN,o,1

#second_wash_air_40min

CLEAN_AIR,20,60,NaN,NaN,o,1
VACUUM,20,25,NaN,NaN,o,1
VACUUM,30,35,NaN,NaN,o,1
VACUUM,40,45,NaN,NaN,o,1
VACUUM,50,55,NaN,NaN,o,1

