hardware,start,end,on,off,mode,value
MAIN_VALVE,0,97,NaN,NaN,o,1
VACUUM,0,97,NaN,NaN,o,1
IRLED,0,97,NaN,NaN,o,1
TARGETS,0,97,NaN,NaN,o,1
ONBOARD_LED,0,97,5000,5000,o,1


ODOR_B_LEFT,2,3,NaN,NaN,o,1
ODOR_B_RIGHT,2,3,NaN,NaN,o,1
LED_R_LEFT,2.2,3.05,1250,3750,p,0.8
LED_R_RIGHT,2.2,3.05,1250,3750,p,0.8


ODOR_A_LEFT,3.5,4.5,NaN,NaN,o,1
ODOR_A_RIGHT,3.5,4.5,NaN,NaN,o,1




ODOR_B_LEFT,20,21,NaN,NaN,o,1
ODOR_B_RIGHT,20,21,NaN,NaN,o,1
LED_R_LEFT,20.2,21.05,1250,3750,p,0.8
LED_R_RIGHT,20.2,21.05,1250,3750,p,0.8


ODOR_A_LEFT,21.5,22.5,NaN,NaN,o,1
ODOR_A_RIGHT,21.5,22.5,NaN,NaN,o,1


ODOR_B_LEFT,38,39,NaN,NaN,o,1
ODOR_B_RIGHT,38,39,NaN,NaN,o,1
LED_R_LEFT,38.2,39.05,1250,3750,p,0.8
LED_R_RIGHT,38.2,39.05,1250,3750,p,0.8



ODOR_A_LEFT,39.5,40.5,NaN,NaN,o,1
ODOR_A_RIGHT,39.5,40.5,NaN,NaN,o,1


ODOR_B_LEFT,56,57,NaN,NaN,o,1
ODOR_B_RIGHT,56,57,NaN,NaN,o,1
LED_R_LEFT,56.2,57.05,1250,3750,p,0.8
LED_R_RIGHT,56.2,57.05,1250,3750,p,0.8


ODOR_A_LEFT,57.5,58.5,NaN,NaN,o,1
ODOR_A_RIGHT,57.5,58.5,NaN,NaN,o,1


ODOR_B_LEFT,74,75,NaN,NaN,o,1
ODOR_B_RIGHT,74,75,NaN,NaN,o,1
LED_R_LEFT,74.2,75.05,1250,3750,p,0.8
LED_R_RIGHT,74.2,75.05,1250,3750,p,0.8


ODOR_A_LEFT,75.5,76.5,NaN,NaN,o,1
ODOR_A_RIGHT,75.5,76.5,NaN,NaN,o,1


ODOR_B_LEFT,92,93,NaN,NaN,o,1
ODOR_B_RIGHT,92,93,NaN,NaN,o,1
LED_R_LEFT,92.2,93.05,1250,3750,p,0.8
LED_R_RIGHT,92.2,93.05,1250,3750,p,0.8

ODOR_A_LEFT,93.5,94.5,NaN,NaN,o,1
ODOR_A_RIGHT,93.5,94.5,NaN,NaN,o,1
